ID,Date,M_kilowatt_cons
0,2021-01,3236.959999999992
1,2021-02,3264.820000000007
2,2021-03,3536.0
3,2021-04,3685.0
4,2021-05,4461.0
5,2021-06,4403.0
6,2021-07,4881.0
7,2021-08,5050.0
8,2021-09,4784.0
9,2021-10,5032.790000000008
10,2021-11,4897.799999999988
11,2021-12,5065.869999999995
12,2022-01,5037.540000000008
13,2022-02,4524.0
14,2022-03,4922.0
15,2022-04,4820.140000000014
16,2022-05,4968.859999999986
17,2022-06,4969.3399999999965
18,2022-07,5416.790000000008
19,2022-08,5275.869999999995
20,2022-09,4863.940000000002
21,2022-10,4914.059999999998
22,2022-11,4676.739999999991
23,2022-12,4838.680000000022
24,2023-01,4794.799999999988
25,2023-02,4325.7699999999895
26,2023-03,4584.010000000009
27,2023-04,4457.0
28,2023-05,4564.0
29,2023-06,4495.459999999992
30,2023-07,4849.9800000000105
31,2023-08,4968.149999999994
32,2023-09,4811.860000000015
33,2023-10,5121.8399999999965
34,2023-11,1787.7099999999919
