,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
137,2021-05-17,57.64,82.36,41.64,0
138,2021-05-18,59.0,79.64,41.0,1
139,2021-05-19,60.64,86.0,43.0,2
140,2021-05-20,59.0,77.64,39.0,3
141,2021-05-21,59.0,47.36,34.72,4
142,2021-05-22,50.72,58.28,34.72,5
143,2021-05-23,51.72,41.28,35.72,6
144,2021-05-24,54.0,37.0,37.72,0
145,2021-05-25,48.28,40.0,33.11,1
146,2021-05-26,48.0,41.0,32.11,2
147,2021-05-27,50.0,31.11,36.0,3
148,2021-05-28,48.0,25.0,34.0,4
149,2021-05-29,48.89,57.0,32.11,5
150,2021-05-30,56.0,40.0,31.75,6
151,2021-05-31,50.0,34.0,32.7,0
152,2021-06-01,48.3,36.0,33.0,1
153,2021-06-02,49.32,28.68,33.32,2
154,2021-06-03,48.32,26.0,34.0,3
155,2021-06-04,51.32,30.0,32.67,4
156,2021-06-05,54.0,19.0,34.67,5
157,2021-06-06,53.0,29.0,37.67,6
158,2021-06-07,48.67,30.33,34.0,0
159,2021-06-08,47.33,51.67,36.33,1
160,2021-06-09,49.33,49.67,40.0,2
161,2021-06-10,48.0,46.0,38.67,3
162,2021-06-11,48.0,33.0,35.67,4
163,2021-06-12,49.0,60.0,31.67,5
164,2021-06-13,47.67,55.33,30.0,6
165,2021-06-14,47.34,54.0,39.66,0
166,2021-06-15,48.0,20.18,34.0,1
167,2021-06-16,50.0,75.18,38.82,2
168,2021-06-17,48.82,30.0,32.18,3
169,2021-06-18,49.0,47.0,33.18,4
170,2021-06-19,48.82,34.0,32.18,5
171,2021-06-20,50.0,22.18,34.82,6
172,2021-06-21,52.0,84.0,41.0,0
173,2021-06-22,57.82,105.18,36.82,1
174,2021-06-23,50.82,78.18,36.82,2
175,2021-06-24,51.82,87.0,33.18,3
176,2021-06-25,52.82,27.18,32.0,4
177,2021-06-26,48.0,51.82,31.18,5
178,2021-06-27,48.0,47.0,33.17,6
179,2021-06-28,49.0,22.0,33.17,0
180,2021-06-29,49.0,35.0,32.17,1
181,2021-06-30,48.83,98.17,34.0,2
182,2021-07-01,51.0,90.0,39.83,3
183,2021-07-02,52.83,43.0,34.0,4
184,2021-07-03,49.0,45.83,34.0,5
185,2021-07-04,48.83,28.0,32.0,6
186,2021-07-05,52.0,52.0,37.0,0
187,2021-07-06,48.17,77.83,34.0,1
188,2021-07-07,51.0,78.0,35.89,2
189,2021-07-08,57.0,93.0,42.0,3
190,2021-07-09,54.11,83.89,39.11,4
191,2021-07-10,50.0,44.7,30.95,5
192,2021-07-11,45.99,46.42,37.75,6
193,2021-07-12,54.24,92.76,38.24,0
194,2021-07-13,56.76,108.24,39.76,1
195,2021-07-14,53.76,55.24,39.0,2
196,2021-07-15,52.0,50.0,35.0,3
197,2021-07-16,56.76,48.24,36.0,4
198,2021-07-17,51.0,25.0,37.0,5
199,2021-07-18,54.0,36.76,33.0,6
200,2021-07-19,55.76,80.58,38.0,0
201,2021-07-20,54.58,70.0,55.42,1
202,2021-07-21,73.42,32.58,48.42,2
203,2021-07-22,62.42,73.58,51.42,3
204,2021-07-23,61.42,27.0,41.0,4
205,2021-07-24,51.47,45.0,36.53,5
206,2021-07-25,53.0,24.0,38.0,6
207,2021-07-26,57.47,115.53,42.47,0
208,2021-07-27,58.0,80.0,38.47,1
209,2021-07-28,55.0,57.0,39.47,2
210,2021-07-29,52.47,61.06,46.94,3
211,2021-07-30,63.47,80.0,35.53,4
212,2021-07-31,53.0,39.0,36.53,5
213,2021-08-01,56.47,37.53,38.0,6
214,2021-08-02,55.53,75.0,41.0,0
215,2021-08-03,58.53,67.98,38.49,1
216,2021-08-04,54.49,53.0,41.0,2
217,2021-08-05,59.0,61.0,39.5,3
218,2021-08-06,53.5,30.0,36.0,4
219,2021-08-07,52.51,41.0,36.0,5
220,2021-08-08,53.51,37.49,39.51,6
221,2021-08-09,55.0,30.51,37.49,0
222,2021-08-10,54.51,24.0,39.49,1
223,2021-08-11,57.49,38.51,39.49,2
224,2021-08-12,55.0,22.0,40.49,3
225,2021-08-13,55.0,23.0,38.48,4
226,2021-08-14,55.0,26.0,39.48,5
227,2021-08-15,56.0,26.0,39.48,6
228,2021-08-16,59.0,15.0,40.48,0
229,2021-08-17,58.48,29.52,39.48,1
230,2021-08-18,63.0,43.0,39.0,2
231,2021-08-19,55.52,20.0,38.48,3
232,2021-08-20,55.52,17.0,38.48,4
233,2021-08-21,54.52,33.48,38.0,5
234,2021-08-22,55.52,31.0,39.0,6
235,2021-08-23,58.52,35.0,40.0,0
236,2021-08-24,58.52,52.48,39.0,1
237,2021-08-25,53.52,37.0,39.48,2
238,2021-08-26,56.48,45.52,39.48,3
239,2021-08-27,55.0,41.0,38.48,4
240,2021-08-28,55.52,37.48,37.52,5
241,2021-08-29,54.0,45.52,59.48,6
242,2021-08-30,72.52,43.67,40.0,0
243,2021-08-31,55.0,41.67,42.0,1
244,2021-09-01,56.0,26.67,47.0,2
245,2021-09-02,65.0,46.0,40.67,3
246,2021-09-03,59.67,55.0,39.33,4
247,2021-09-04,55.33,34.0,39.0,5
248,2021-09-05,56.33,33.67,38.0,6
249,2021-09-06,58.0,84.67,40.0,0
250,2021-09-07,57.0,40.67,42.0,1
251,2021-09-08,56.33,47.67,44.0,2
252,2021-09-09,66.33,35.67,41.33,3
253,2021-09-10,57.0,42.0,41.0,4
254,2021-09-11,57.33,27.67,40.0,5
255,2021-09-12,57.0,31.0,40.67,6
256,2021-09-13,58.0,64.33,43.34,0
257,2021-09-14,58.0,42.67,45.0,1
258,2021-09-15,59.67,40.0,46.33,2
259,2021-09-16,59.33,67.67,42.0,3
260,2021-09-17,61.67,74.0,42.33,4
261,2021-09-18,58.0,26.0,41.0,5
262,2021-09-19,59.0,32.67,42.0,6
263,2021-09-20,59.67,59.0,43.33,0
264,2021-09-21,57.33,34.0,43.0,1
265,2021-09-22,60.0,48.0,44.99,2
266,2021-09-23,59.0,58.64,43.36,3
267,2021-09-24,58.36,36.0,40.64,4
268,2021-09-25,61.0,57.0,41.0,5
269,2021-09-26,62.36,57.0,41.0,6
270,2021-09-27,62.0,88.0,43.36,0
271,2021-09-28,60.0,68.0,45.36,1
272,2021-09-29,61.0,46.0,41.36,2
273,2021-09-30,59.0,41.36,42.64,3
274,2021-10-01,59.36,38.83,42.17,4
275,2021-10-02,59.17,26.0,42.0,5
276,2021-10-03,60.17,25.83,42.0,6
277,2021-10-04,60.0,50.83,45.17,0
278,2021-10-05,62.17,52.0,43.83,1
279,2021-10-06,62.83,64.0,43.0,2
280,2021-10-07,60.0,32.0,43.83,3
281,2021-10-08,62.0,38.82,41.0,4
282,2021-10-09,59.0,26.0,40.82,5
283,2021-10-10,59.18,29.82,41.0,6
284,2021-10-11,62.0,39.82,43.0,0
285,2021-10-12,62.82,24.18,43.0,1
286,2021-10-13,60.18,25.0,43.82,2
287,2021-10-14,61.0,26.0,43.82,3
288,2021-10-15,61.0,21.82,42.18,4
289,2021-10-16,61.18,27.82,42.0,5
290,2021-10-17,60.82,31.0,41.18,6
291,2021-10-18,61.0,24.0,44.18,0
292,2021-10-19,61.18,22.82,43.18,1
293,2021-10-20,62.18,29.82,44.0,2
294,2021-10-21,62.0,55.0,43.82,3
295,2021-10-22,63.18,49.0,44.82,4
296,2021-10-23,62.0,29.0,42.18,5
297,2021-10-24,62.0,20.18,42.82,6
298,2021-10-25,63.0,48.0,45.82,0
