ID,Date,M_Kilowatt_Consumed
0,2021-01,7066.960000000006
1,2021-02,6229.320000000007
2,2021-03,6753.419999999998
3,2021-04,5765.0
4,2021-05,4742.970000000001
5,2021-06,3963.300000000003
6,2021-07,4791.830000000002
7,2021-08,4164.470000000001
8,2021-09,4500.330000000002
9,2021-10,4420.0
10,2021-11,5658.550000000003
11,2021-12,6758.459999999999
12,2022-01,6288.98
13,2022-02,5152.560000000001
14,2022-03,5079.610000000001
15,2022-04,4289.89
16,2022-05,4094.0
17,2022-06,5592.4400000000005
18,2022-07,6801.71
19,2022-08,5198.950000000001
20,2022-09,5776.919999999998
21,2022-10,5099.990000000002
22,2022-11,6910.740000000002
23,2022-12,9456.2
24,2023-01,8353.950000000004
25,2023-02,6384.620000000003
26,2023-03,5101.519999999997
27,2023-04,4182.0
28,2023-05,4100.949999999997
29,2023-06,4491.770000000004
30,2023-07,6969.440000000002
31,2023-08,4601.599999999991
32,2023-09,5994.650000000009
33,2023-10,6091.309999999998
34,2023-11,2315.9900000000052
