ID,Date,M_Kilowatt_Consumed
0,2021-01,3236.959999999992
1,2021-02,3264.0
2,2021-03,3536.0
3,2021-04,3684.5899999999965
4,2021-05,4461.0
5,2021-06,4402.279999999999
6,2021-07,4881.0
7,2021-08,5049.4100000000035
8,2021-09,4783.309999999998
9,2021-10,5032.130000000005
10,2021-11,4897.5899999999965
11,2021-12,5065.459999999992
12,2022-01,5037.0
13,2022-02,4523.630000000005
14,2022-03,4921.6600000000035
15,2022-04,4819.900000000023
16,2022-05,4968.0
17,2022-06,4968.4499999999825
18,2022-07,5416.130000000005
19,2022-08,5274.869999999995
20,2022-09,4863.899999999994
21,2022-10,4914.0
22,2022-11,4675.899999999994
23,2022-12,4838.420000000013
24,2023-01,4794.220000000001
25,2023-02,4324.989999999991
26,2023-03,4584.0
27,2023-04,4456.100000000006
28,2023-05,4563.200000000012
29,2023-06,4494.7699999999895
30,2023-07,4849.209999999992
31,2023-08,4967.369999999995
32,2023-09,4811.450000000012
33,2023-10,5121.290000000008
34,2023-11,1787.0
