ID,Date,Consumption
260,2021-09-18 00:00:00 -> 2021-09-18 23:55:00,125.00
261,2021-09-19 00:00:00 -> 2021-09-19 23:55:00,133.00
262,2021-09-20 00:00:00 -> 2021-09-20 23:55:00,162.00
263,2021-09-21 00:00:00 -> 2021-09-21 23:55:00,134.66
264,2021-09-22 00:00:00 -> 2021-09-22 23:55:00,153.00
265,2021-09-23 00:00:00 -> 2021-09-23 23:55:00,160.99
266,2021-09-24 00:00:00 -> 2021-09-24 23:55:00,135.00
267,2021-09-25 00:00:00 -> 2021-09-25 23:55:00,159.00
268,2021-09-26 00:00:00 -> 2021-09-26 23:55:00,160.64
269,2021-09-27 00:00:00 -> 2021-09-27 23:55:00,193.64
270,2021-09-28 00:00:00 -> 2021-09-28 23:55:00,173.64
271,2021-09-29 00:00:00 -> 2021-09-29 23:55:00,148.64
272,2021-09-30 00:00:00 -> 2021-09-30 23:55:00,143.00
273,2021-10-01 00:00:00 -> 2021-10-01 23:55:00,141.19
274,2021-10-02 00:00:00 -> 2021-10-02 23:55:00,127.83
275,2021-10-03 00:00:00 -> 2021-10-03 23:55:00,127.83
276,2021-10-04 00:00:00 -> 2021-10-04 23:55:00,156.00
277,2021-10-05 00:00:00 -> 2021-10-05 23:55:00,157.83
278,2021-10-06 00:00:00 -> 2021-10-06 23:55:00,169.00
279,2021-10-07 00:00:00 -> 2021-10-07 23:55:00,135.00
280,2021-10-08 00:00:00 -> 2021-10-08 23:55:00,140.99
281,2021-10-09 00:00:00 -> 2021-10-09 23:55:00,125.18
282,2021-10-10 00:00:00 -> 2021-10-10 23:55:00,130.18
283,2021-10-11 00:00:00 -> 2021-10-11 23:55:00,144.00
284,2021-10-12 00:00:00 -> 2021-10-12 23:55:00,130.00
285,2021-10-13 00:00:00 -> 2021-10-13 23:55:00,129.00
286,2021-10-14 00:00:00 -> 2021-10-14 23:55:00,130.00
287,2021-10-15 00:00:00 -> 2021-10-15 23:55:00,125.00
288,2021-10-16 00:00:00 -> 2021-10-16 23:55:00,131.00
289,2021-10-17 00:00:00 -> 2021-10-17 23:55:00,133.00
290,2021-10-18 00:00:00 -> 2021-10-18 23:55:00,129.82
291,2021-10-19 00:00:00 -> 2021-10-19 23:55:00,127.82
292,2021-10-20 00:00:00 -> 2021-10-20 23:55:00,136.00
293,2021-10-21 00:00:00 -> 2021-10-21 23:55:00,160.18
294,2021-10-22 00:00:00 -> 2021-10-22 23:55:00,157.18
295,2021-10-23 00:00:00 -> 2021-10-23 23:55:00,134.00
296,2021-10-24 00:00:00 -> 2021-10-24 23:55:00,125.00
297,2021-10-25 00:00:00 -> 2021-10-25 23:55:00,156.00
298,2021-10-26 00:00:00 -> 2021-10-26 23:55:00,180.00
299,2021-10-27 00:00:00 -> 2021-10-27 23:55:00,149.18
300,2021-10-28 00:00:00 -> 2021-10-28 23:55:00,160.00
301,2021-10-29 00:00:00 -> 2021-10-29 23:55:00,168.00
302,2021-10-30 00:00:00 -> 2021-10-30 23:55:00,132.00
303,2021-10-31 00:00:00 -> 2021-10-31 23:55:00,152.64
304,2021-11-01 00:00:00 -> 2021-11-01 23:55:00,165.64
305,2021-11-02 00:00:00 -> 2021-11-02 23:55:00,156.98
306,2021-11-03 00:00:00 -> 2021-11-03 23:55:00,201.58
307,2021-11-04 00:00:00 -> 2021-11-04 23:55:00,188.57
308,2021-11-05 00:00:00 -> 2021-11-05 23:55:00,205.55
309,2021-11-06 00:00:00 -> 2021-11-06 23:55:00,140.55
310,2021-11-07 00:00:00 -> 2021-11-07 23:55:00,130.00
311,2021-11-08 00:00:00 -> 2021-11-08 23:55:00,195.00
312,2021-11-09 00:00:00 -> 2021-11-09 23:55:00,200.45
313,2021-11-10 00:00:00 -> 2021-11-10 23:55:00,179.98
314,2021-11-11 00:00:00 -> 2021-11-11 23:55:00,199.47
315,2021-11-12 00:00:00 -> 2021-11-12 23:55:00,165.00
316,2021-11-13 00:00:00 -> 2021-11-13 23:55:00,130.47
317,2021-11-14 00:00:00 -> 2021-11-14 23:55:00,148.99
318,2021-11-15 00:00:00 -> 2021-11-15 23:55:00,184.50
319,2021-11-16 00:00:00 -> 2021-11-16 23:55:00,225.00
320,2021-11-17 00:00:00 -> 2021-11-17 23:55:00,208.99
321,2021-11-18 00:00:00 -> 2021-11-18 23:55:00,183.00
322,2021-11-19 00:00:00 -> 2021-11-19 23:55:00,176.99
323,2021-11-20 00:00:00 -> 2021-11-20 23:55:00,131.47
324,2021-11-21 00:00:00 -> 2021-11-21 23:55:00,134.00
325,2021-11-22 00:00:00 -> 2021-11-22 23:55:00,222.00
326,2021-11-23 00:00:00 -> 2021-11-23 23:55:00,235.00
327,2021-11-24 00:00:00 -> 2021-11-24 23:55:00,193.00
328,2021-11-25 00:00:00 -> 2021-11-25 23:55:00,218.00
329,2021-11-26 00:00:00 -> 2021-11-26 23:55:00,219.00
330,2021-11-27 00:00:00 -> 2021-11-27 23:55:00,170.00
331,2021-11-28 00:00:00 -> 2021-11-28 23:55:00,196.00
332,2021-11-29 00:00:00 -> 2021-11-29 23:55:00,299.00
333,2021-11-30 00:00:00 -> 2021-11-30 23:55:00,236.00
334,2021-12-01 00:00:00 -> 2021-12-01 23:55:00,274.55
335,2021-12-02 00:00:00 -> 2021-12-02 23:55:00,260.45
336,2021-12-03 00:00:00 -> 2021-12-03 23:55:00,238.00
337,2021-12-04 00:00:00 -> 2021-12-04 23:55:00,164.46
338,2021-12-05 00:00:00 -> 2021-12-05 23:55:00,163.47
339,2021-12-06 00:00:00 -> 2021-12-06 23:55:00,289.99
340,2021-12-07 00:00:00 -> 2021-12-07 23:55:00,215.00
341,2021-12-08 00:00:00 -> 2021-12-08 23:55:00,163.49
342,2021-12-09 00:00:00 -> 2021-12-09 23:55:00,253.49
343,2021-12-10 00:00:00 -> 2021-12-10 23:55:00,278.49
344,2021-12-11 00:00:00 -> 2021-12-11 23:55:00,143.99
345,2021-12-12 00:00:00 -> 2021-12-12 23:55:00,132.50
346,2021-12-13 00:00:00 -> 2021-12-13 23:55:00,261.00
347,2021-12-14 00:00:00 -> 2021-12-14 23:55:00,232.00
348,2021-12-15 00:00:00 -> 2021-12-15 23:55:00,213.50
349,2021-12-16 00:00:00 -> 2021-12-16 23:55:00,209.00
350,2021-12-17 00:00:00 -> 2021-12-17 23:55:00,215.99
351,2021-12-18 00:00:00 -> 2021-12-18 23:55:00,161.49
352,2021-12-19 00:00:00 -> 2021-12-19 23:55:00,163.00
353,2021-12-20 00:00:00 -> 2021-12-20 23:55:00,320.49
354,2021-12-21 00:00:00 -> 2021-12-21 23:55:00,262.51
355,2021-12-22 00:00:00 -> 2021-12-22 23:55:00,261.51
356,2021-12-23 00:00:00 -> 2021-12-23 23:55:00,253.00
357,2021-12-24 00:00:00 -> 2021-12-24 23:55:00,211.00
358,2021-12-25 00:00:00 -> 2021-12-25 23:55:00,159.54
359,2021-12-26 00:00:00 -> 2021-12-26 23:55:00,151.00
360,2021-12-27 00:00:00 -> 2021-12-27 23:55:00,251.46
361,2021-12-28 00:00:00 -> 2021-12-28 23:55:00,241.00
362,2021-12-29 00:00:00 -> 2021-12-29 23:55:00,215.46
363,2021-12-30 00:00:00 -> 2021-12-30 23:55:00,212.00
364,2021-12-31 00:00:00 -> 2021-12-31 23:55:00,166.46
365,2022-01-01 00:00:00 -> 2022-01-01 23:55:00,134.54
366,2022-01-02 00:00:00 -> 2022-01-02 23:55:00,149.00
367,2022-01-03 00:00:00 -> 2022-01-03 23:55:00,229.46
368,2022-01-04 00:00:00 -> 2022-01-04 23:55:00,232.46
369,2022-01-05 00:00:00 -> 2022-01-05 23:55:00,182.00
370,2022-01-06 00:00:00 -> 2022-01-06 23:55:00,148.00
371,2022-01-07 00:00:00 -> 2022-01-07 23:55:00,141.55
372,2022-01-08 00:00:00 -> 2022-01-08 23:55:00,132.55
373,2022-01-09 00:00:00 -> 2022-01-09 23:55:00,156.55
374,2022-01-10 00:00:00 -> 2022-01-10 23:55:00,296.00
375,2022-01-11 00:00:00 -> 2022-01-11 23:55:00,249.45
376,2022-01-12 00:00:00 -> 2022-01-12 23:55:00,220.45
377,2022-01-13 00:00:00 -> 2022-01-13 23:55:00,220.00
378,2022-01-14 00:00:00 -> 2022-01-14 23:55:00,221.00
379,2022-01-15 00:00:00 -> 2022-01-15 23:55:00,130.00
380,2022-01-16 00:00:00 -> 2022-01-16 23:55:00,128.55
381,2022-01-17 00:00:00 -> 2022-01-17 23:55:00,250.00
382,2022-01-18 00:00:00 -> 2022-01-18 23:55:00,249.00
383,2022-01-19 00:00:00 -> 2022-01-19 23:55:00,232.55
384,2022-01-20 00:00:00 -> 2022-01-20 23:55:00,253.00
385,2022-01-21 00:00:00 -> 2022-01-21 23:55:00,213.45
386,2022-01-22 00:00:00 -> 2022-01-22 23:55:00,132.00
387,2022-01-23 00:00:00 -> 2022-01-23 23:55:00,131.55
388,2022-01-24 00:00:00 -> 2022-01-24 23:55:00,255.00
389,2022-01-25 00:00:00 -> 2022-01-25 23:55:00,247.00
390,2022-01-26 00:00:00 -> 2022-01-26 23:55:00,232.00
391,2022-01-27 00:00:00 -> 2022-01-27 23:55:00,240.44
392,2022-01-28 00:00:00 -> 2022-01-28 23:55:00,256.44
393,2022-01-29 00:00:00 -> 2022-01-29 23:55:00,135.44
394,2022-01-30 00:00:00 -> 2022-01-30 23:55:00,136.44
395,2022-01-31 00:00:00 -> 2022-01-31 23:55:00,335.44
396,2022-02-01 00:00:00 -> 2022-02-01 23:55:00,219.00
397,2022-02-02 00:00:00 -> 2022-02-02 23:55:00,217.00
398,2022-02-03 00:00:00 -> 2022-02-03 23:55:00,206.43
