ID,Date,Consumption
91,2021-08-20 00:00:00 -> 2021-08-20 23:55:00,130.00
92,2021-08-21 00:00:00 -> 2021-08-21 23:55:00,128.00
93,2021-08-22 00:00:00 -> 2021-08-22 23:55:00,123.00
94,2021-08-23 00:00:00 -> 2021-08-23 23:55:00,88.00
95,2021-08-24 00:00:00 -> 2021-08-24 23:55:00,79.00
96,2021-08-25 00:00:00 -> 2021-08-25 23:55:00,108.00
97,2021-08-26 00:00:00 -> 2021-08-26 23:55:00,129.00
98,2021-08-27 00:00:00 -> 2021-08-27 23:55:00,115.00
99,2021-08-28 00:00:00 -> 2021-08-28 23:55:00,98.00
100,2021-08-29 00:00:00 -> 2021-08-29 23:55:00,137.00
101,2021-08-30 00:00:00 -> 2021-08-30 23:55:00,129.00
102,2021-08-31 00:00:00 -> 2021-08-31 23:55:00,120.00
103,2021-09-01 00:00:00 -> 2021-09-01 23:55:00,128.00
104,2021-09-02 00:00:00 -> 2021-09-02 23:55:00,122.00
105,2021-09-03 00:00:00 -> 2021-09-03 23:55:00,87.00
106,2021-09-04 00:00:00 -> 2021-09-04 23:55:00,111.00
107,2021-09-05 00:00:00 -> 2021-09-05 23:55:00,116.00
108,2021-09-06 00:00:00 -> 2021-09-06 23:55:00,119.00
109,2021-09-07 00:00:00 -> 2021-09-07 23:55:00,111.00
110,2021-09-08 00:00:00 -> 2021-09-08 23:55:00,109.00
111,2021-09-09 00:00:00 -> 2021-09-09 23:55:00,111.00
112,2021-09-10 00:00:00 -> 2021-09-10 23:55:00,82.00
113,2021-09-11 00:00:00 -> 2021-09-11 23:55:00,101.00
114,2021-09-12 00:00:00 -> 2021-09-12 23:55:00,113.00
115,2021-09-13 00:00:00 -> 2021-09-13 23:55:00,112.00
116,2021-09-14 00:00:00 -> 2021-09-14 23:55:00,94.00
117,2021-09-15 00:00:00 -> 2021-09-15 23:55:00,86.00
118,2021-09-16 00:00:00 -> 2021-09-16 23:55:00,79.00
119,2021-09-17 00:00:00 -> 2021-09-17 23:55:00,51.00
120,2021-09-18 00:00:00 -> 2021-09-18 23:55:00,97.00
121,2021-09-19 00:00:00 -> 2021-09-19 23:55:00,95.00
122,2021-09-20 00:00:00 -> 2021-09-20 23:55:00,94.00
123,2021-09-21 00:00:00 -> 2021-09-21 23:55:00,95.00
124,2021-09-22 00:00:00 -> 2021-09-22 23:55:00,102.00
125,2021-09-23 00:00:00 -> 2021-09-23 23:55:00,99.00
126,2021-09-24 00:00:00 -> 2021-09-24 23:55:00,103.00
127,2021-09-25 00:00:00 -> 2021-09-25 23:55:00,0.00
128,2021-09-26 00:00:00 -> 2021-09-26 23:55:00,0.00
129,2021-09-27 00:00:00 -> 2021-09-27 23:55:00,35.00
130,2021-09-28 00:00:00 -> 2021-09-28 23:55:00,89.00
131,2021-09-29 00:00:00 -> 2021-09-29 23:55:00,87.00
132,2021-09-30 00:00:00 -> 2021-09-30 23:55:00,93.00
133,2021-10-01 00:00:00 -> 2021-10-01 23:55:00,89.00
134,2021-10-02 00:00:00 -> 2021-10-02 23:55:00,42.00
135,2021-10-03 00:00:00 -> 2021-10-03 23:55:00,61.00
136,2021-10-04 00:00:00 -> 2021-10-04 23:55:00,75.00
137,2021-10-05 00:00:00 -> 2021-10-05 23:55:00,51.00
138,2021-10-06 00:00:00 -> 2021-10-06 23:55:00,36.00
139,2021-10-07 00:00:00 -> 2021-10-07 23:55:00,93.00
140,2021-10-08 00:00:00 -> 2021-10-08 23:55:00,61.00
141,2021-10-09 00:00:00 -> 2021-10-09 23:55:00,90.00
142,2021-10-10 00:00:00 -> 2021-10-10 23:55:00,95.00
143,2021-10-11 00:00:00 -> 2021-10-11 23:55:00,61.00
144,2021-10-12 00:00:00 -> 2021-10-12 23:55:00,78.00
145,2021-10-13 00:00:00 -> 2021-10-13 23:55:00,88.00
146,2021-10-14 00:00:00 -> 2021-10-14 23:55:00,92.00
147,2021-10-15 00:00:00 -> 2021-10-15 23:55:00,90.00
148,2021-10-16 00:00:00 -> 2021-10-16 23:55:00,75.00
149,2021-10-17 00:00:00 -> 2021-10-17 23:55:00,68.00
150,2021-10-18 00:00:00 -> 2021-10-18 23:55:00,78.00
151,2021-10-19 00:00:00 -> 2021-10-19 23:55:00,82.00
152,2021-10-20 00:00:00 -> 2021-10-20 23:55:00,70.00
153,2021-10-21 00:00:00 -> 2021-10-21 23:55:00,44.00
154,2021-10-22 00:00:00 -> 2021-10-22 23:55:00,43.00
155,2021-10-23 00:00:00 -> 2021-10-23 23:55:00,37.00
156,2021-10-24 00:00:00 -> 2021-10-24 23:55:00,72.00
157,2021-10-25 00:00:00 -> 2021-10-25 23:55:00,51.00
158,2021-10-26 00:00:00 -> 2021-10-26 23:55:00,27.00
159,2021-10-27 00:00:00 -> 2021-10-27 23:55:00,66.00
160,2021-10-28 00:00:00 -> 2021-10-28 23:55:00,65.00
161,2021-10-29 00:00:00 -> 2021-10-29 23:55:00,54.00
162,2021-10-30 00:00:00 -> 2021-10-30 23:55:00,66.00
163,2021-10-31 00:00:00 -> 2021-10-31 23:55:00,31.00
164,2021-11-01 00:00:00 -> 2021-11-01 23:55:00,12.00
165,2021-11-02 00:00:00 -> 2021-11-02 23:55:00,68.00
