ID,Date,D_kilowatt_cons
185,2021-07-04,109.0
186,2021-07-05,141.16999999999825
187,2021-07-06,160.83000000000175
188,2021-07-07,165.0
189,2021-07-08,192.11000000000058
190,2021-07-09,178.0
191,2021-07-10,126.54000000000087
192,2021-07-11,130.5899999999965
193,2021-07-12,186.0
194,2021-07-13,205.76000000000204
195,2021-07-14,148.23999999999796
196,2021-07-15,137.76000000000204
197,2021-07-16,141.23999999999796
198,2021-07-17,113.76000000000204
199,2021-07-18,124.0
200,2021-07-19,174.58000000000175
201,2021-07-20,180.41999999999825
202,2021-07-21,155.0
203,2021-07-22,188.0
204,2021-07-23,130.0
205,2021-07-24,133.52999999999884
206,2021-07-25,115.47000000000116
207,2021-07-26,216.0
208,2021-07-27,177.0
209,2021-07-28,152.0
210,2021-07-29,161.0
211,2021-07-30,179.52999999999884
212,2021-07-31,129.0
213,2021-08-01,133.0
214,2021-08-02,172.0
215,2021-08-03,165.47000000000116
216,2021-08-04,149.0
217,2021-08-05,160.0
218,2021-08-06,120.0
219,2021-08-07,130.0
220,2021-08-08,131.0
221,2021-08-09,123.48999999999796
222,2021-08-10,119.0
223,2021-08-11,136.0
224,2021-08-12,118.0
225,2021-08-13,116.99000000000524
226,2021-08-14,121.0
227,2021-08-15,122.0
228,2021-08-16,115.0
229,2021-08-17,128.0
230,2021-08-18,145.5199999999968
231,2021-08-19,114.4800000000032
232,2021-08-20,112.0
233,2021-08-21,127.0
234,2021-08-22,126.5199999999968
235,2021-08-23,134.0
236,2021-08-24,150.4800000000032
237,2021-08-25,131.0
238,2021-08-26,142.0
239,2021-08-27,135.0
240,2021-08-28,131.5199999999968
241,2021-08-29,159.4800000000032
242,2021-08-30,157.18999999999505
243,2021-08-31,139.0
244,2021-09-01,130.0
245,2021-09-02,152.0
246,2021-09-03,154.33000000000175
247,2021-09-04,129.0
248,2021-09-05,128.66999999999825
249,2021-09-06,183.0
250,2021-09-07,140.0
251,2021-09-08,149.0
252,2021-09-09,144.33000000000175
253,2021-09-10,140.66999999999825
254,2021-09-11,126.0
255,2021-09-12,129.0
256,2021-09-13,166.0
257,2021-09-14,146.0
258,2021-09-15,146.33000000000175
259,2021-09-16,169.66999999999825
260,2021-09-17,178.33000000000175
261,2021-09-18,125.66999999999825
262,2021-09-19,134.0
263,2021-09-20,162.33000000000175
264,2021-09-21,135.0
265,2021-09-22,153.65000000000146
266,2021-09-23,161.34999999999854
267,2021-09-24,135.63999999999942
268,2021-09-25,159.36000000000058
269,2021-09-26,161.0
270,2021-09-27,194.0
271,2021-09-28,174.0
272,2021-09-29,149.0
273,2021-09-30,143.63999999999942
274,2021-10-01,141.36000000000058
275,2021-10-02,128.0
276,2021-10-03,128.83000000000175
277,2021-10-04,156.16999999999825
278,2021-10-05,158.83000000000175
279,2021-10-06,170.0
280,2021-10-07,136.0
281,2021-10-08,141.98999999999796
282,2021-10-09,126.0
283,2021-10-10,131.0
284,2021-10-11,145.0
285,2021-10-12,130.1800000000003
286,2021-10-13,129.8199999999997
287,2021-10-14,131.0
288,2021-10-15,125.18000000000029
289,2021-10-16,131.8199999999997
290,2021-10-17,133.1800000000003
291,2021-10-18,130.0
292,2021-10-19,128.0
293,2021-10-20,136.8199999999997
294,2021-10-21,161.0
295,2021-10-22,158.0
296,2021-10-23,134.1800000000003
297,2021-10-24,125.81999999999971
298,2021-10-25,157.0
299,2021-10-26,181.0
300,2021-10-27,149.84999999999854
301,2021-10-28,160.33000000000175
302,2021-10-29,168.65000000000146
303,2021-10-30,132.34999999999854
304,2021-10-31,153.0
305,2021-11-01,166.63999999999942
306,2021-11-02,157.36000000000058
307,2021-11-03,202.0
308,2021-11-04,189.0
309,2021-11-05,206.0
310,2021-11-06,141.5500000000029
311,2021-11-07,130.4499999999971
312,2021-11-08,195.5500000000029
313,2021-11-09,201.0
