ID,Date,D_kilowatt_cons
243,2022-01-19,45.0
244,2022-01-20,24.0
245,2022-01-21,54.0
246,2022-01-22,58.0
247,2022-01-23,55.0
248,2022-01-24,59.0
249,2022-01-25,60.0
250,2022-01-26,42.0
251,2022-01-27,53.0
252,2022-01-28,38.0
253,2022-01-29,62.0
254,2022-01-30,48.0
255,2022-01-31,10.0
256,2022-02-01,64.0
257,2022-02-02,65.0
258,2022-02-03,64.0
259,2022-02-04,18.0
260,2022-02-05,44.0
261,2022-02-06,66.0
262,2022-02-07,50.0
263,2022-02-08,72.0
264,2022-02-09,69.0
265,2022-02-10,72.0
266,2022-02-11,65.0
267,2022-02-12,69.0
268,2022-02-13,56.0
269,2022-02-14,35.0
270,2022-02-15,41.0
271,2022-02-16,65.0
272,2022-02-17,67.0
273,2022-02-18,32.0
274,2022-02-19,52.0
275,2022-02-20,49.0
276,2022-02-21,58.0
277,2022-02-22,89.0
278,2022-02-23,88.0
279,2022-02-24,81.0
280,2022-02-25,68.0
281,2022-02-26,65.0
282,2022-02-27,88.0
283,2022-02-28,91.0
284,2022-03-01,90.0
285,2022-03-02,96.0
286,2022-03-03,62.0
287,2022-03-04,68.0
288,2022-03-05,97.0
289,2022-03-06,92.0
290,2022-03-07,83.0
291,2022-03-08,105.0
292,2022-03-09,105.0
293,2022-03-10,104.0
294,2022-03-11,85.0
295,2022-03-12,92.0
296,2022-03-13,105.0
297,2022-03-14,103.0
298,2022-03-15,98.0
299,2022-03-16,96.0
300,2022-03-17,76.0
301,2022-03-18,58.0
302,2022-03-19,44.0
303,2022-03-20,106.0
304,2022-03-21,111.0
305,2022-03-22,111.0
306,2022-03-23,112.0
307,2022-03-24,111.0
308,2022-03-25,111.0
309,2022-03-26,89.0
310,2022-03-27,74.0
311,2022-03-28,90.0
312,2022-03-29,100.0
313,2022-03-30,14.0
314,2022-03-31,35.0
315,2022-04-01,44.0
316,2022-04-02,54.0
317,2022-04-03,88.0
318,2022-04-04,82.0
319,2022-04-05,127.0
320,2022-04-06,42.0
321,2022-04-07,94.0
322,2022-04-08,65.0
323,2022-04-09,65.0
324,2022-04-10,132.0
325,2022-04-11,131.0
326,2022-04-12,123.0
327,2022-04-13,103.0
328,2022-04-14,113.0
329,2022-04-15,113.0
330,2022-04-16,129.0
331,2022-04-17,115.0
332,2022-04-18,137.0
333,2022-04-19,134.0
334,2022-04-20,106.0
335,2022-04-21,39.0
336,2022-04-22,84.0
337,2022-04-23,129.0
338,2022-04-24,109.0
339,2022-04-25,119.0
340,2022-04-26,140.0
341,2022-04-27,142.0
342,2022-04-28,140.0
343,2022-04-29,141.0
344,2022-04-30,142.0
345,2022-05-01,78.0
346,2022-05-02,135.0
347,2022-05-03,137.0
348,2022-05-04,109.0
349,2022-05-05,40.0
350,2022-05-06,28.0
351,2022-05-07,62.0
352,2022-05-08,92.0
353,2022-05-09,104.0
354,2022-05-10,143.0
355,2022-05-11,139.0
356,2022-05-12,144.0
357,2022-05-13,143.0
358,2022-05-14,141.0
359,2022-05-15,140.58000000000175
360,2022-05-16,139.41999999999825
361,2022-05-17,141.0
362,2022-05-18,114.0
363,2022-05-19,141.0
364,2022-05-20,146.0
365,2022-05-21,142.0
366,2022-05-22,135.0
367,2022-05-23,135.0
368,2022-05-24,141.0
369,2022-05-25,52.0
370,2022-05-26,93.0
371,2022-05-27,90.0
372,2022-05-28,84.0
373,2022-05-29,127.0
374,2022-05-30,131.0
375,2022-05-31,130.0
376,2022-06-01,139.0
377,2022-06-02,137.0
378,2022-06-03,126.0
379,2022-06-04,92.0
380,2022-06-05,80.0
381,2022-06-06,130.0
382,2022-06-07,140.0
383,2022-06-08,131.0
384,2022-06-09,61.0
385,2022-06-10,151.0
386,2022-06-11,149.0
387,2022-06-12,0.0
388,2022-06-13,118.0
389,2022-06-14,153.0
390,2022-06-15,76.0
391,2022-06-16,146.0
392,2022-06-17,105.0
393,2022-06-18,149.0
394,2022-06-19,148.0
395,2022-06-20,149.0
396,2022-06-21,140.0
397,2022-06-22,125.0
398,2022-06-23,81.0
399,2022-06-24,114.0
400,2022-06-25,110.0
401,2022-06-26,130.0
402,2022-06-27,126.0
403,2022-06-28,85.0
404,2022-06-29,138.0
405,2022-06-30,145.0
406,2022-07-01,129.0
407,2022-07-02,143.0
408,2022-07-03,124.0
409,2022-07-04,128.0
410,2022-07-05,137.0
411,2022-07-06,138.0
412,2022-07-07,124.0
413,2022-07-08,159.0
414,2022-07-09,157.0
415,2022-07-10,151.0
416,2022-07-11,99.0
417,2022-07-12,144.0
418,2022-07-13,147.0
419,2022-07-14,148.0
420,2022-07-15,148.0
421,2022-07-16,148.0
422,2022-07-17,76.0
423,2022-07-18,128.0
424,2022-07-19,141.0
425,2022-07-20,143.0
426,2022-07-21,141.0
427,2022-07-22,140.0
428,2022-07-23,142.0
429,2022-07-24,138.0
430,2022-07-25,129.0
431,2022-07-26,131.0
432,2022-07-27,135.0
433,2022-07-28,139.0
434,2022-07-29,139.0
435,2022-07-30,127.0
436,2022-07-31,136.0
437,2022-08-01,137.0
438,2022-08-02,131.0
439,2022-08-03,133.0
440,2022-08-04,133.0
441,2022-08-05,133.0
442,2022-08-06,130.0
443,2022-08-07,131.0
444,2022-08-08,119.0
445,2022-08-09,69.0
446,2022-08-10,127.0
447,2022-08-11,117.0
448,2022-08-12,111.0
449,2022-08-13,105.0
450,2022-08-14,136.0
451,2022-08-15,128.0
452,2022-08-16,127.0
453,2022-08-17,120.0
454,2022-08-18,56.0
455,2022-08-19,94.0
456,2022-08-20,106.0
457,2022-08-21,102.0
458,2022-08-22,96.0
459,2022-08-23,103.0
460,2022-08-24,125.0
461,2022-08-25,124.0
462,2022-08-26,123.0
463,2022-08-27,110.0
464,2022-08-28,101.0
465,2022-08-29,116.0
466,2022-08-30,115.0
467,2022-08-31,101.0
468,2022-09-01,84.0
469,2022-09-02,114.0
470,2022-09-03,62.0
471,2022-09-04,75.0
472,2022-09-05,115.0
473,2022-09-06,112.0
474,2022-09-07,104.0
475,2022-09-08,49.0
476,2022-09-09,95.0
477,2022-09-10,114.0
478,2022-09-11,113.0
479,2022-09-12,107.0
480,2022-09-13,112.0
481,2022-09-14,100.0
482,2022-09-15,57.0
483,2022-09-16,90.0
484,2022-09-17,93.0
485,2022-09-18,112.0
486,2022-09-19,68.0
487,2022-09-20,84.0
488,2022-09-21,106.0
489,2022-09-22,88.0
490,2022-09-23,106.0
491,2022-09-24,59.0
492,2022-09-25,58.0
493,2022-09-26,40.0
494,2022-09-27,86.0
495,2022-09-28,76.0
496,2022-09-29,67.0
497,2022-09-30,70.0
498,2022-10-01,83.0
499,2022-10-02,90.0
500,2022-10-03,96.0
501,2022-10-04,89.0
502,2022-10-05,91.0
503,2022-10-06,83.0
504,2022-10-07,75.0
505,2022-10-08,78.0
506,2022-10-09,62.0
507,2022-10-10,71.0
508,2022-10-11,76.0
509,2022-10-12,71.0
510,2022-10-13,33.0
511,2022-10-14,84.0
512,2022-10-15,81.0
513,2022-10-16,75.0
514,2022-10-17,78.0
515,2022-10-18,78.0
516,2022-10-19,76.0
517,2022-10-20,74.0
518,2022-10-21,55.0
519,2022-10-22,53.0
520,2022-10-23,57.0
521,2022-10-24,63.0
522,2022-10-25,62.0
523,2022-10-26,58.0
524,2022-10-27,63.0
525,2022-10-28,65.0
526,2022-10-29,67.0
527,2022-10-30,67.0
528,2022-10-31,66.0
529,2022-11-01,64.0
530,2022-11-02,50.0
531,2022-11-03,47.0
532,2022-11-04,29.0
533,2022-11-05,39.0
534,2022-11-06,63.0
535,2022-11-07,63.0
536,2022-11-08,61.0
537,2022-11-09,44.0
538,2022-11-10,35.0
539,2022-11-11,56.0
540,2022-11-12,33.0
541,2022-11-13,53.0
542,2022-11-14,42.0
543,2022-11-15,30.0
544,2022-11-16,30.0
545,2022-11-17,39.0
546,2022-11-18,38.0
547,2022-11-19,13.0
548,2022-11-20,49.0
549,2022-11-21,50.0
550,2022-11-22,12.0
551,2022-11-23,51.0
552,2022-11-24,43.0
553,2022-11-25,22.0
554,2022-11-26,26.0
555,2022-11-27,51.0
556,2022-11-28,27.0
557,2022-11-29,44.0
558,2022-11-30,45.0
559,2022-12-01,47.0
560,2022-12-02,18.0
561,2022-12-03,0.0
562,2022-12-04,0.0
563,2022-12-05,37.0
564,2022-12-06,41.0
565,2022-12-07,41.0
566,2022-12-08,23.0
567,2022-12-09,14.0
568,2022-12-10,15.0
569,2022-12-11,33.0
570,2022-12-12,43.0
571,2022-12-13,14.0
572,2022-12-14,6.0
573,2022-12-15,3.0
574,2022-12-16,14.0
575,2022-12-17,31.0
576,2022-12-18,0.0
577,2022-12-19,40.0
578,2022-12-20,42.0
579,2022-12-21,16.0
580,2022-12-22,37.0
581,2022-12-23,35.0
582,2022-12-24,26.0
583,2022-12-25,33.0
584,2022-12-26,25.0
585,2022-12-27,26.0
586,2022-12-28,39.0
587,2022-12-29,33.0
588,2022-12-30,29.0
589,2022-12-31,38.0
590,2023-01-01,40.0
591,2023-01-02,16.0
592,2023-01-03,20.0
593,2023-01-04,38.0
